FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Kaiwen,"5' 8""",145 lbs.,"71""",Switch,"Oct 16, 1995",http://ufcstats.com/fighter-details/0565706b1e7f7e7c
Sirwan Kakai,"5' 5""",135 lbs.,--,Orthodox,"Oct 03, 1989",http://ufcstats.com/fighter-details/2525a853486ee670
Saidyokub Kakhramonov,"5' 8""",135 lbs.,"69""",Orthodox,"Nov 14, 1995",http://ufcstats.com/fighter-details/50a28b9f8314e008
Geza Kalman,"6' 1""",200 lbs.,--,,--,http://ufcstats.com/fighter-details/304fcd812f12c589
Bryson Kamaka,"5' 11""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9336e86cfd4ceaa1
Kai Kamaka,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995",http://ufcstats.com/fighter-details/eee0ef3e2b14816b
Shah Kamali,--,265 lbs.,--,,"Oct 25, 1998",http://ufcstats.com/fighter-details/a46ab6c64d321c2d
Shuya Kamikubo,"5' 5""",135 lbs.,"68""",Switch,"Apr 12, 1993",http://ufcstats.com/fighter-details/a46fa1c7972548d0
Daichi Kamiya,"5' 8""",155 lbs.,"68""",Southpaw,"Apr 19, 1999",http://ufcstats.com/fighter-details/a497e228cce8a64f
Martin Kampmann,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",http://ufcstats.com/fighter-details/8b69839f3555a67b
Koya Kanda,"5' 9""",145 lbs.,"75""",Southpaw,"Dec 20, 1995",http://ufcstats.com/fighter-details/b42d3a1469dab722
Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987",http://ufcstats.com/fighter-details/efd2b3e9bb7965a4
Hiromitsu Kanehara,"5' 10""",200 lbs.,--,Orthodox,"Oct 05, 1970",http://ufcstats.com/fighter-details/eda579d906cf0ca2
Masanori Kanehara,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982",http://ufcstats.com/fighter-details/f3a078277b3b8ff4
Ken Kaneko,"6' 0""",161 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/5345f86680378fc1
Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977",http://ufcstats.com/fighter-details/3c241737a6069b9f
Kyung Ho Kang,"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987",http://ufcstats.com/fighter-details/a7897d200692ab64
Manel Kape,"5' 5""",125 lbs.,"68""",Southpaw,"Nov 14, 1993",http://ufcstats.com/fighter-details/5d1b7e3dd9e11074
David Kaplan,"5' 7""",155 lbs.,--,Orthodox,"Nov 16, 1979",http://ufcstats.com/fighter-details/5669b828e7e11329
Kai Kara-France,"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",http://ufcstats.com/fighter-details/853eb0dd5c0e2149
Georgi Karakhanyan,"5' 8""",145 lbs.,--,,"May 29, 1985",http://ufcstats.com/fighter-details/43292ecf0e72c143
Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",http://ufcstats.com/fighter-details/e361e5c858af6ff1
Ernesta Kareckaite,"5' 9""",125 lbs.,"71""",Orthodox,"Jul 05, 1998",http://ufcstats.com/fighter-details/e4faa79383c9f214
Impa Kasanganay,"5' 11""",170 lbs.,"75""",Orthodox,"Jan 17, 1994",http://ufcstats.com/fighter-details/257b0c8d6f199895
Jinnosuke Kashimura,"5' 7""",155 lbs.,"71""",Southpaw,"Aug 12, 2001",http://ufcstats.com/fighter-details/4a9120fa47bafef0
Nadia Kassem,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995",http://ufcstats.com/fighter-details/6e7506127408aa9e
Yusuke Kasuya,"5' 7""",155 lbs.,--,Southpaw,"Nov 16, 1989",http://ufcstats.com/fighter-details/3058888c33149a53
Tetsuji Kato,--,155 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/542db012217ecb83
Hisaki Kato,"6' 0""",185 lbs.,--,,"Sep 17, 1982",http://ufcstats.com/fighter-details/ebf1c247b2cba375
Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991",http://ufcstats.com/fighter-details/7b433309b0fd12aa
Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/751de04455cfaac0
Sarah Kaufman,"5' 5""",135 lbs.,"66""",Orthodox,"Sep 20, 1985",http://ufcstats.com/fighter-details/36df8e119aec6175
Lone'er Kavanagh,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 09, 1999",http://ufcstats.com/fighter-details/bb2c3c3a466224af
Yusuke Kawaguchi,"6' 0""",255 lbs.,--,,"Aug 14, 1980",http://ufcstats.com/fighter-details/fa2320781bfe4f49
Canaan Kawaihae,"6' 0""",145 lbs.,"71""",Southpaw,"Aug 26, 1997",http://ufcstats.com/fighter-details/58d42b9e920b25fc
Tatsuya Kawajiri,"5' 7""",145 lbs.,"69""",Orthodox,"May 08, 1978",http://ufcstats.com/fighter-details/80d918336163b80c
Ryo Kawamura,"5' 11""",205 lbs.,--,Orthodox,"Jun 29, 1981",http://ufcstats.com/fighter-details/9e91d7fd2720e241
Masuto Kawana,"5' 6""",145 lbs.,"69""",Orthodox,"Jan 30, 1995",http://ufcstats.com/fighter-details/49f4171f14f54220
Doug Kay,--,--,--,,--,http://ufcstats.com/fighter-details/547c5611bd366988
Toshiomi Kazama,"5' 7""",135 lbs.,"69""",Orthodox,"May 15, 1997",http://ufcstats.com/fighter-details/148bb103cfbf123e
Julie Kedzie,"5' 5""",135 lbs.,--,Orthodox,"Mar 18, 1981",http://ufcstats.com/fighter-details/981ab7a0576f76a0
Ryan Keenan,"5' 10""",170 lbs.,--,,"Jun 15, 1985",http://ufcstats.com/fighter-details/a72b20136239ba39
Losene Keita,"5' 8""",145 lbs.,"72""",Orthodox,"Dec 30, 1997",http://ufcstats.com/fighter-details/5b43d68174b6e2ab
CJ Keith,"6' 0""",155 lbs.,--,Orthodox,"Aug 09, 1986",http://ufcstats.com/fighter-details/c0eecd851dbf3146
Chris Kelades,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981",http://ufcstats.com/fighter-details/56c9acc4e86046a2
Brian Kelleher,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",http://ufcstats.com/fighter-details/7be14eaed4c74856
Mayana Kellem,"5' 5""",135 lbs.,--,Orthodox,"Jul 07, 1981",http://ufcstats.com/fighter-details/c788481ae19e798d
Tony Kelley,"5' 9""",135 lbs.,"70""",Switch,"Jan 21, 1987",http://ufcstats.com/fighter-details/1a08b01fdabb6ae2
Paul Kelly,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984",http://ufcstats.com/fighter-details/aac5ac38148f0528
John Kelly,"5' 9""",170 lbs.,--,,"Aug 02, 1978",http://ufcstats.com/fighter-details/ace83095105dd205
Daniel Kelly,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",http://ufcstats.com/fighter-details/bdcbb976816fd256
Tim Kennedy,"5' 11""",185 lbs.,"74""",Orthodox,"Sep 01, 1979",http://ufcstats.com/fighter-details/3c660c90d48fc80d
Steve Kennedy,"5' 11""",170 lbs.,--,Orthodox,"Mar 07, 1983",http://ufcstats.com/fighter-details/185fb0200a4605e6
Jeremy Kennedy,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 16, 1992",http://ufcstats.com/fighter-details/68f6e96c5fa6e044
Waylon Kennell,"6' 0""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/9b8a73b59be8d786
Casey Kenney,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 20, 1991",http://ufcstats.com/fighter-details/e7bba7ce4d6c7b07
Maimaitituoheti Keremuaili,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 18, 1991",http://ufcstats.com/fighter-details/772022b989534f0d
Aurelijus Kerpe,--,--,--,Orthodox,--,http://ufcstats.com/fighter-details/c1e4ae143cce7398
Mark Kerr,"6' 3""",266 lbs.,--,Switch,"Dec 21, 1968",http://ufcstats.com/fighter-details/a7b48e18ca27795d
Will Kerr,"5' 10""",155 lbs.,"69""",Orthodox,"Oct 21, 1982",http://ufcstats.com/fighter-details/ef61d9f5176b3200
Ron Keslar,--,185 lbs.,--,,--,http://ufcstats.com/fighter-details/b84f34b425dfd24b
Rustam Khabilov,"5' 8""",155 lbs.,"73""",Orthodox,"Nov 04, 1986",http://ufcstats.com/fighter-details/9b7694d064a8a0ad
Adam Khaliev,"6' 0""",170 lbs.,--,Orthodox,"Apr 16, 1984",http://ufcstats.com/fighter-details/1aba18b5f15d4956
Sergey Khandozhko,"6' 1""",170 lbs.,"74""",Orthodox,"May 19, 1992",http://ufcstats.com/fighter-details/90da09db03e41748
Sergei Kharitonov,"6' 0""",245 lbs.,--,Orthodox,"Aug 18, 1980",http://ufcstats.com/fighter-details/0693b2eab79198ea
Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988",http://ufcstats.com/fighter-details/3929efe0c0a83d07
Aziz Khaydarov,"5' 11""",155 lbs.,"72""",Orthodox,"Sep 25, 1993",http://ufcstats.com/fighter-details/a072b512b6f4fc42
Mansher Khera,"5' 10""",155 lbs.,"68""",Orthodox,"Apr 15, 1992",http://ufcstats.com/fighter-details/4bbd1e5c77ef3c2f
Aliaskhab Khizriev,"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990",http://ufcstats.com/fighter-details/7ab478c397cd68ef
WonBin Ki,"5' 11""",155 lbs.,"73""",Orthodox,"Feb 11, 1991",http://ufcstats.com/fighter-details/aaeb55084b198a39
Pannie Kianzad,"5' 7""",135 lbs.,"66""",Orthodox,"Dec 08, 1991",http://ufcstats.com/fighter-details/91dac5e69e28d5b5
Akira Kikuchi,"5' 8""",155 lbs.,--,Orthodox,"Jul 23, 1978",http://ufcstats.com/fighter-details/9c37681096c6f3a9
Katsunori Kikuno,"5' 8""",145 lbs.,"66""",Orthodox,"Oct 31, 1981",http://ufcstats.com/fighter-details/44470bfd9483c7ad
Sanae Kikuta,"5' 9""",200 lbs.,--,Orthodox,"Sep 10, 1971",http://ufcstats.com/fighter-details/e4bde462b043d3e1
Jacob Kilburn,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 28, 1995",http://ufcstats.com/fighter-details/637bd06c32219f0b
Dong Hyun Kim,"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981",http://ufcstats.com/fighter-details/9bcf8603ceb25680
Jin Oh Kim,"5' 9""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/8d04923f2db59b7f
Dae Won Kim,"5' 11""",180 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/354808cf38d9d73c
Jong Wang Kim,"6' 1""",240 lbs.,--,,--,http://ufcstats.com/fighter-details/380e8b023290d091
Jong Won Kim,"5' 7""",139 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9e0f28d1f639ad73
Min Soo Kim,"6' 1""",255 lbs.,--,Southpaw,"Jan 22, 1975",http://ufcstats.com/fighter-details/831b937811804dad
Jong Man Kim,"5' 7""",139 lbs.,--,Orthodox,"Mar 03, 1978",http://ufcstats.com/fighter-details/dba230fe33011201
Ji Yeon Kim,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",http://ufcstats.com/fighter-details/a20f234df70f2182
MinWoo Kim,"5' 8""",135 lbs.,"72""",Orthodox,"Jul 21, 1993",http://ufcstats.com/fighter-details/6343a95f1d9e6a33
HanSeul Kim,"6' 1""",170 lbs.,"73""",Southpaw,"Jun 19, 1990",http://ufcstats.com/fighter-details/2bc47c7cc6c05bd7
KyeungPyo Kim,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 29, 1992",http://ufcstats.com/fighter-details/5a9f7b5ffebdd6e7
Sangwook Kim,"6' 0""",155 lbs.,"71""",Orthodox,"Oct 17, 1993",http://ufcstats.com/fighter-details/a264d4e9a4d6bfe4
SangWon Kim,"5' 9""",145 lbs.,"69""",Orthodox,"Sep 01, 1993",http://ufcstats.com/fighter-details/e9712cad24948ce1
KyuSung Kim,"5' 11""",125 lbs.,"69""",Orthodox,"Nov 05, 1992",http://ufcstats.com/fighter-details/e7ecfab8fd86d3e1
So Yul Kim,--,115 lbs.,--,,"May 25, 1997",http://ufcstats.com/fighter-details/864c07a7ff90caae
Jeremy Kimball,"6' 0""",205 lbs.,"72""",Switch,"Jan 03, 1991",http://ufcstats.com/fighter-details/917a5cb9821df261
Rob Kimmons,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981",http://ufcstats.com/fighter-details/054defd5420a551f
Dustin Kimura,"5' 7""",135 lbs.,"71""",Orthodox,"May 21, 1989",http://ufcstats.com/fighter-details/fe91d254db77a7fc
Taiei Kin,"5' 11""",185 lbs.,--,Orthodox,"Jul 08, 1970",http://ufcstats.com/fighter-details/c7ac79839e86ce33
Mike King,"6' 3""",185 lbs.,--,,"Aug 04, 1983",http://ufcstats.com/fighter-details/564c2f5f9eb45d67
Kyle Kingsbury,"6' 4""",205 lbs.,"79""",Orthodox,"Mar 22, 1982",http://ufcstats.com/fighter-details/b959e8c7fd8390d2
Yusaku Kinoshita,"6' 0""",170 lbs.,"71""",Southpaw,"Aug 21, 2000",http://ufcstats.com/fighter-details/21b5c82c1b89dab1
Kamuela Kirk,"5' 10""",155 lbs.,"75""",Switch,"Apr 13, 1994",http://ufcstats.com/fighter-details/c7d7fda69ec410d3
Yurij Kiseliov,"5' 8""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/51d2aaaca56e5b40
Justine Kish,"5' 5""",125 lbs.,"64""",Orthodox,"Apr 13, 1988",http://ufcstats.com/fighter-details/928ae2e5b5f7a9ec
Koji Kitao,"6' 7""",350 lbs.,--,Southpaw,"Oct 12, 1963",http://ufcstats.com/fighter-details/2a6f8136da1e52c0
Satoru Kitaoka,"5' 6""",154 lbs.,--,,"Feb 04, 1980",http://ufcstats.com/fighter-details/e2ac5bb645f33088
Top Noi Kiwram,"5' 5""",125 lbs.,"67""",Southpaw,"Aug 15, 1992",http://ufcstats.com/fighter-details/e065b4a42a6c2c79
Ludovit Klein,"5' 7""",155 lbs.,"72""",Southpaw,"Feb 22, 1995",http://ufcstats.com/fighter-details/5b86d491d63890c5
Nick Klein,"6' 1""",185 lbs.,"77""",Orthodox,"Sep 08, 1995",http://ufcstats.com/fighter-details/7eaa5e31c2dd86aa
Seth Kleinbeck,"6' 2""",185 lbs.,--,,"Jul 25, 1973",http://ufcstats.com/fighter-details/8ad022dd81224f61
Stefan Klever,--,185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/bc3876891e155bb5
Fatima Kline,"5' 6""",115 lbs.,"67""",Orthodox,"Jul 12, 2000",http://ufcstats.com/fighter-details/745fa7b605f8e2da
Felix Klinkhammer,"6' 0""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/8276f28f1ad087de
Drakkar Klose,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",http://ufcstats.com/fighter-details/7cbf7c78d3b34218
Michael Knaap,"6' 2""",220 lbs.,--,Orthodox,"Feb 27, 1984",http://ufcstats.com/fighter-details/02f0e04acf102ea9
Kevin Knabjian,"5' 10""",170 lbs.,--,Orthodox,"Jul 05, 1984",http://ufcstats.com/fighter-details/1fac46d466abd5b8
Jason Knight,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 14, 1992",http://ufcstats.com/fighter-details/bb1a2cdad6ff34db
William Knight,"5' 10""",205 lbs.,"73""",Orthodox,"Apr 03, 1988",http://ufcstats.com/fighter-details/5da33b8fbfa5ee95
Josefine Knutsson,"5' 3""",115 lbs.,"60""",Orthodox,"Jan 16, 1996",http://ufcstats.com/fighter-details/971dba22c622af12
Seokhyeon Ko,"5' 10""",170 lbs.,"71""",Southpaw,"Sep 24, 1993",http://ufcstats.com/fighter-details/4a07b1988477502c
Isao Kobayashi,"5' 8""",145 lbs.,--,,"Oct 28, 1988",http://ufcstats.com/fighter-details/a02652d063ef5baa
Kelly Kobold,"5' 6""",135 lbs.,--,Orthodox,"Feb 25, 1983",http://ufcstats.com/fighter-details/c398235fcaf8d71d
Erik Koch,"5' 10""",170 lbs.,"71""",Southpaw,"Oct 04, 1988",http://ufcstats.com/fighter-details/99bd87a300079ed9
Sokun Koh,"6' 1""",205 lbs.,--,,--,http://ufcstats.com/fighter-details/6d8ef8706781c49e
Shingo Kohara,"5' 6""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/44c233770075cea1
Brad Kohler,"5' 9""",220 lbs.,--,Orthodox,"May 26, 1964",http://ufcstats.com/fighter-details/13c4313ed0f744f3
Charlie Kohler,"5' 9""",155 lbs.,--,Orthodox,"Jul 16, 1976",http://ufcstats.com/fighter-details/5717efc6f271cd52
Tsuyoshi Kohsaka,"5' 11""",225 lbs.,--,Orthodox,"Mar 06, 1970",http://ufcstats.com/fighter-details/b76ed59283d3559c
Kaloyan Kolev,"6' 2""",205 lbs.,"73""",Orthodox,"Oct 17, 1992",http://ufcstats.com/fighter-details/33de378ce1734638
John Kolosci,"5' 11""",185 lbs.,--,Orthodox,"Nov 26, 1974",http://ufcstats.com/fighter-details/5f6038bcdb95e3e4
Yuki Kondo,"5' 11""",183 lbs.,--,Southpaw,"Jul 17, 1975",http://ufcstats.com/fighter-details/1fe7adb23b3eedfb
Syuri Kondo,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",http://ufcstats.com/fighter-details/a851c35f58199231
Mantas Kondratavicius,"6' 2""",185 lbs.,"75""",Orthodox,"Jul 17, 1999",http://ufcstats.com/fighter-details/3cc506f115cbb9d5
Cheick Kongo,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975",http://ufcstats.com/fighter-details/1eacf73d6a0055dc
Andrei Kopylov,"6' 2""",265 lbs.,--,Orthodox,"Jul 16, 1965",http://ufcstats.com/fighter-details/dd39f1ca787a3d9d
Roman Kopylov,"6' 0""",185 lbs.,"75""",Southpaw,"May 04, 1991",http://ufcstats.com/fighter-details/9d83f6da776ff7d6
Bruno Korea,"5' 6""",135 lbs.,"65""",,"Jun 28, 1991",http://ufcstats.com/fighter-details/6c011be66326ad97
Chungreng Koren,--,135 lbs.,--,,"Feb 01, 1998",http://ufcstats.com/fighter-details/000774e57404d8c7
Andrey Koreshkov,"6' 0""",170 lbs.,--,,"Aug 23, 1990",http://ufcstats.com/fighter-details/aee885b8ca29ab4f
Josh Koscheck,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 30, 1977",http://ufcstats.com/fighter-details/dd37fd509af89f15
Steven Koslow,"5' 7""",125 lbs.,"69""",Switch,"Jan 22, 1997",http://ufcstats.com/fighter-details/84512339473dd300
Naoyuki Kotani,"5' 8""",155 lbs.,"66""",Southpaw,"Dec 08, 1981",http://ufcstats.com/fighter-details/bc8f6b42767e28df
Ilya Kotau,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/a68d57ae177a5815
Iouri Kotchkine,"6' 2""",235 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/c6becb722706c7d8
Matt Kovacs,"6' 0""",244 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/8fbcd82bf7f352bf
Marcus Kowal,--,135 lbs.,--,,--,http://ufcstats.com/fighter-details/ad0e42800a0d8977
Karolina Kowalkiewicz,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",http://ufcstats.com/fighter-details/d7c3816669784109
Steve Kozola,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/fc36e2352dccf2a4
Derrick Krantz,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/714e1e0681ddb703
James Krause,"6' 2""",170 lbs.,"73""",Orthodox,"Jun 04, 1986",http://ufcstats.com/fighter-details/8f6a18831a120817
Pascal Krauss,"6' 1""",170 lbs.,--,Orthodox,"Apr 19, 1987",http://ufcstats.com/fighter-details/a01e84abefd85ec0
Rene Kronvold,"5' 8""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/db05271715bb4874
Kaynan Kruschewsky,"6' 0""",155 lbs.,"73""",Orthodox,"Apr 04, 1991",http://ufcstats.com/fighter-details/ca36633b80be4a78
Jorgen Kruth,"6' 2""",205 lbs.,--,,"May 08, 1974",http://ufcstats.com/fighter-details/6071d786f6187810
Nikita Krylov,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",http://ufcstats.com/fighter-details/1091d4d957141094
Mariusz Ksiazkiewicz,"6' 3""",185 lbs.,"75""",Southpaw,"Oct 04, 1989",http://ufcstats.com/fighter-details/ab16537dd1e5e81d
Eliezer Kubanza,"5' 9""",170 lbs.,"74""",Orthodox,"Dec 23, 1997",http://ufcstats.com/fighter-details/66579081831db7b0
Junya Kudo,--,135 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/487c170da059857d
John Kuhner,--,170 lbs.,--,,"Oct 12, 1982",http://ufcstats.com/fighter-details/a272656ad662ac53
Michael Kuiper,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 07, 1989",http://ufcstats.com/fighter-details/b7f38813485745da
Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984",http://ufcstats.com/fighter-details/706f8e2b34e8e18b
Maiju Kujala,--,135 lbs.,--,,--,http://ufcstats.com/fighter-details/4e77d070239699e2
Sumit Kumar,"5' 5""",125 lbs.,"66""",Orthodox,"Sep 09, 2000",http://ufcstats.com/fighter-details/a0a625221e0dd339
Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984",http://ufcstats.com/fighter-details/e2ccd9a9ace60de7
Rizvan Kuniev,"6' 4""",240 lbs.,"76""",Orthodox,"Mar 10, 1992",http://ufcstats.com/fighter-details/739fd4fbb5d862f4
Keigo Kunihara,"6' 0""",235 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/782a2a17d3e38fdf
Kiichi Kunimoto,"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981",http://ufcstats.com/fighter-details/71df36d6d8cf0d74
Jon Kunneman,--,185 lbs.,--,,"Jul 14, 1999",http://ufcstats.com/fighter-details/2694c4997a51ed01
Leo Kuntz,"5' 10""",155 lbs.,--,Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/6905d45bd71b50a9
Korey Kuppe,"6' 5""",170 lbs.,"77""",Switch,"Jan 23, 1989",http://ufcstats.com/fighter-details/780a2897055e3ee3
Ramazan Kuramagomedov,"6' 1""",170 lbs.,"73""",Orthodox,"Aug 23, 1996",http://ufcstats.com/fighter-details/b6a73e6f11a8835c
Tsuyoshi Kurihara,"5' 10""",185 lbs.,--,Orthodox,"Jul 13, 1973",http://ufcstats.com/fighter-details/032b65d5fff611b2
Eldari Kurtanidze,"5' 6""",235 lbs.,--,Orthodox,"Apr 16, 1972",http://ufcstats.com/fighter-details/4c78fc005a53831d
Kyle Kurtz,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/b490def93478ae29
Guram Kutateladze,"5' 11""",155 lbs.,"72""",Orthodox,"Jan 08, 1992",http://ufcstats.com/fighter-details/7772b283d288dbe2
Vadym Kutsyi,"6' 0""",170 lbs.,"71""",Orthodox,"Jul 18, 1991",http://ufcstats.com/fighter-details/aeb2bcd4371f40d5
Lina Kvokov,"5' 9""",135 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/843dd76c50cae0f6
Kaleo Kwan,"5' 7""",155 lbs.,--,,"Aug 01, 1970",http://ufcstats.com/fighter-details/2545c7f47a65bca3
Jarrod Kwitty,"5' 8""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/849d15ed7e3a0e97
Mike Kyle,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",http://ufcstats.com/fighter-details/56b8b24f65f9f057
Lisa Kyriacou,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 17, 1993",http://ufcstats.com/fighter-details/edbc609a3b0d2aba
Achmed Labasanov,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978",http://ufcstats.com/fighter-details/b3fb8d2293e17a59
Josh LaBerge,"5' 10""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/5108b169b5fe1f86
Jeremiah Labiano,"5' 10""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/4fe1d105af549845
Daniel Lacerda,"5' 6""",125 lbs.,"70""",Switch,"Jun 05, 1996",http://ufcstats.com/fighter-details/31bb0772f21cabd8
Luan Lacerda,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993",http://ufcstats.com/fighter-details/6fc506e1099afe20
Kemran Lachinov,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/eb84192d1a97f69e
Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",http://ufcstats.com/fighter-details/d4691518d012b9e7
Ryan LaFlare,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",http://ufcstats.com/fighter-details/4c7781da8c6cae93
Corinne Laframboise,"5' 4""",125 lbs.,"65""",Orthodox,"May 25, 1989",http://ufcstats.com/fighter-details/fbe9f4efc2153be2
Ben Lagman,"6' 2""",185 lbs.,--,,"Sep 04, 1986",http://ufcstats.com/fighter-details/b40e65d71a8d4ce5
Noad Lahat,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",http://ufcstats.com/fighter-details/9f755fb04cc21499
Tina Lahdemaki,"5' 2""",115 lbs.,--,Orthodox,"May 28, 1988",http://ufcstats.com/fighter-details/e5ca2bc2451a5956
Yohan Lainesse,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992",http://ufcstats.com/fighter-details/f998f5c102250d6e
Tim Lajcik,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965",http://ufcstats.com/fighter-details/c7e9d15cfce52f1d
Todd Lally,"5' 7""",145 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/7d06092326c52528
Sean Lally,"6' 0""",170 lbs.,--,Orthodox,"Nov 04, 1990",http://ufcstats.com/fighter-details/e62ce041bb7aeb1f
Ricardo Lamas,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",http://ufcstats.com/fighter-details/3974fa35c917af1d
Jason Lambert,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975",http://ufcstats.com/fighter-details/5be86bb2f78fef2f
Jose Landi-Jons,"5' 11""",170 lbs.,--,Orthodox,"Sep 09, 1973",http://ufcstats.com/fighter-details/7e062824c175f975
Nate Landwehr,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988",http://ufcstats.com/fighter-details/583ee11abddfc581
Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987",http://ufcstats.com/fighter-details/be9bdec19b7e9ffe
Aaron Lanfranco,--,155 lbs.,--,,"Aug 26, 1986",http://ufcstats.com/fighter-details/d73e856f150744b2
Jeremy Lang,"5' 11""",205 lbs.,--,Southpaw,"May 11, 1975",http://ufcstats.com/fighter-details/09422812370fbdfe
Lionel Lanham,--,205 lbs.,--,,"Aug 31, 1980",http://ufcstats.com/fighter-details/b8980dd7e8fc5976
Lina Lansberg,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",http://ufcstats.com/fighter-details/2eeaefbfc7f9fcff
Taylor Lapilus,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992",http://ufcstats.com/fighter-details/8b1ed83b02303075
Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",http://ufcstats.com/fighter-details/c03a5022f8439f2a
